text,label
രാജ്യംസർക്കാർപദ്ധതിഅവതരിപ്പിച്ചു,politics
ഇന്ത്യ അന്താരാഷ്ട്ര വാർത്ത,world
കേരളം യുദ്ധം ആരംഭിച്ചു,world
ഇന്ത്യ പാർട്ടി യോഗം ചേർന്നു,politics
സംഘം ഇന്നലെ മത്സരം വിജയിച്ചു വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,sports
സംഘം ഇന്നലെ വിപണി ഉയർന്നു വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,business
ഇന്ത്യ ഇന്നലെ സംഘർഷം രൂക്ഷമായി വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,world
ഇന്ത്യയുദ്ധംആരംഭിച്ചു,world
ഇന്ത്യ ഇന്നലെ സർക്കാർ പദ്ധതി അവതരിപ്പിച്ചു വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,politics
കേരളം മികച്ച പ്രകടനം കാഴ്ചവെച്ചു,sports
രാജ്യംചിത്രംശ്രദ്ധനേടി,entertainment
ടീം ഇന്നലെ പാർട്ടി യോഗം ചേർന്നു വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,politics
രാജ്യം ഇന്നലെ കമ്പനി ലാഭം നേടി വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,business
കേരളം ഇന്നലെ ചിത്രം ശ്രദ്ധ നേടി വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,entertainment
ടീംരാജ്യങ്ങൾതമ്മിൽപ്രശ്നം,world
കേരളം അന്താരാഷ്ട്ര വാർത്ത,world
ടീം യുദ്ധം ആരംഭിച്ചു,world
ടീം നടന്റെ പ്രകടനം മികച്ചത്,entertainment
സംഘംടീംവിജയിച്ചു,sports
രാജ്യം സാമ്പത്തിക വളർച്ച രേഖപ്പെടുത്തി,business
ടീം മികച്ച പ്രകടനം കാഴ്ചവെച്ചു,sports
സംഘം ഇന്നലെ രാജ്യങ്ങൾ തമ്മിൽ പ്രശ്നം വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,world
രാജ്യംവിപണിഉയർന്നു,business
ടീം സർക്കാർ പദ്ധതി അവതരിപ്പിച്ചു,politics
ഇന്ത്യ ഇന്നലെ ചിത്രം പ്രേക്ഷകർ ഏറ്റെടുത്തു വളരെ ശ്രദ്ധേയമായ സംഭവം ആയിരുന്നു,entertainment
